_id,data,fieldToAnnotate,tags,annotations,createdAt
22,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' بدأ جيتس دراسته في هارفيد\nأوضحت قضية يناير عام 1975 الخاصة بالأكترونيات الشعبية والأجهزة الدقيقة وأنظمة القياس عن بعد ألتير 8800'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
23,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nلاحظ ألين أنهم يستطيعوا برمجة بيسيك للجهاز؛ بعد أن أجري جيتس مكالمة هاتفية يَدعي انه يعمل كمترجم طلبت الشركة إثباتا لكلامه حيث أنها في ذلك الوقت لم تكن تملك مترجماً؛ عمل ألين في مجال المحاكاة لدي ألتير 8800 بينما طور جيتس المترجم، وبالرغم من أنهما طورا المترجم وثبتاه مع جهاز المحاكاة وليس الجهاز الفعلي إلا أن المترجم عمل بلا أي مشاكل عندما أظهروا المترجم في ألباكركي، نيومكسيكو في مارس 1975'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
24,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولقد وافقت الشركة على توزيعه وتسويقه كألتير بيسيك'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
25,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nوأسسوا شركة مايكروسوفت رسمياً في الرابع من إبريل عام 1975 مع جيتس كالمدير التنفيذي'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
26,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وخطرت علي بال ألين فكرة الأسم الأصلي لشركة مايكروسوفت والخلط بين كلمات المايكروكمبيوتر والسوفت واير كسرد أو روي ل1995 Fortune magazine article'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
27,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وفي أغسطس عام 1977؛ عقدت الشركة اتفاقاً مع مجلة ASCII في اليابان، مما أدى إلى إنشاء أول مكتب دولي [2]'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
28,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وانتقلت الشركة إلى مكانها الجديد في بالفيو، في مدينة واشنطن في يناير عام 1979'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
29,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nلقد شاركت شركة مايكروسوفت في مجال أنظمة التشغيل عام 1980 مع إصدارها الخاص يونكس الذي يسمى زينيكس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
30,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولكن كان هذا إم إس-دوس الذي عزز هيمنة الشركة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
31,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وبعد محاولات فاشلة مع البحوث الرقمية، عقدت شركة إم بي آي أتفاقا مع شركة مايكروسوفت في نوفمبر عام 1980 لتدعم إصدار أنظمة التشغيل الخاصة بالتحكم بالحواسيب الذي كان من المقرر أن يستخدم في أجهزة الحاسوب الخاصة ب إم بي آي'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
32,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولهذه الصفقة اشترت مايكروسوفت إستنساخاً لأنظمة التشغيل يسمى دوس_86 من سياتل لمنتجات الحاسوب؛ واصفين إياها إم-إس دوس الذي غيرت شركة إم بي آي علامته التجارية إلي بي سي دوس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
33,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وعقب صدور الأجهزة الشخصية لشركة آي بي إم في أغسطس عام 1981؛ احتفظت مايكروسوفت بملكية إم-إس دوس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
34,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' منذ حقوق التأليف والنشر لشركة آي بي إم؛ الأجهزة الشخصية بيوس، شركات أخرى اضطرت إلي الهندسة عكسية وذلك من أجل الأجهزة غير المملوكة لشركة آي بي إم لتعمل كمتوافقات للأجهزة الشخصية لشركة آي بي إم، ولكن لا يوجد مثل هذا التقييد المطبق على أنظمة التشغيل'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
35,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ونتيجة لعوامل مختلفة منها اختيار البرامج المتاحة ل إم إس دوس؛ أخيراً أصبحت مايكروسوفت المورد الرائد لبيع أنظمة التشغيل للأجهزة الشخصية'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
36,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وتوسعت الشركة وتفتحت لها أسواقاً جديدة وذلك بصدور جهاز الفأرة الخاص بشركة مايكروسوفت في 1983؛ بالإضافة إلي النشر المقسم تحت اسم صحافة مايكروسوفت'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
37,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ولقد استقال بول ألين من شركة مايكروسوفت في فبراير بسبب إصابته بمرض لمفومة هودجكين\n\n1985–1994: «الويندوز» و«الأوفيس»\nفي وقت تطور وتنامي نظام التشغيل الجديد مع شركة آي بي إمأو إس/2 في عام 1984، أطلقت شركة مايكروسوفت ويندوز وهو ملحق بياني ل إم إس دوس في 20 نوفمبر 1985'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
38,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' نقلت شركة مايكروسوفت مركزها الرئيسي إلي ريدمون في 26 فبراير 1986'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
39,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وفي 13 مارس أصبحت الشركة مساهمة عامة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
40,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وبارتفاع عدد الأسهم إلى أربعة مليارات واثنتي عشر مليون من حصة موظفي شركة مايكروسوفت'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
41,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' ونظرا للشراكة بين شركتي مايكروسوفت واي بي إم في 1990؛ ترصدت لجنة التجارة الاتحادية لشركة مايكروسوفت منعاً لاحتمالية المؤامرة، وذلك كان بداية أكثر عقد من عقود المواجهات القانونية مع حكومة الولايات المتحدة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
42,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nأعلنت مايكروسوفت عن إصدار نسختها من أو إس 2 لصانع معدات أصلية في 2 أبريل 1987'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
43,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وفي الوقت نفسه كانت الشركة تعمل على أو إس 32 بايت وويندوز إن تي مستخدمة فكرتها من أو إس 2'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
44,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nتم شحنها في 21 يوليو 1993، مع نواة معيارية جديدة وواجهة برمجة تطبيقات 32 بت (واجهة برمجة تطبيقات ويندوز)، مما يسهل المنفذ من ويندوز16 بت (يستند إلى إم إس-دوس)'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
45,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' أبلغت مايكروسوفت شركة آي بي إم عن ويندوز إن تي، وبذلك تدهورت الشراكة مع أو إس/2'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
46,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nفي سنة 1990، قدمت مايكروسوفت مجموعة مايكروسوفت أوفيس التي جمعت تطبيقات منفصلة مثل مايكروسوفت وورد ومايكروسوفت إكسل'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
47,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' في 22 مايو، أطلقت مايكروسوفت ويندوز 3'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
48,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '0، الذي يتميز برسومات واجهة مستخدم مبسطة وقدرة الوضع المحمي لمعالج إنتل 386،  وأصبح كل من أوفيس وويندوز مهيمنين في مناطقهما الخاصة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
49,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nفي 27 يوليو 1994، قدم قسم مكافحة الاحتكار بوزارة العدل بيانًا بشأن التأثير التنافسي قال فيه: «بدءًا من سنة 1988، واستمر حتى 15 يوليو 1994، حثت مايكروسوفت العديد من مصنعي المعدات الأصلية على تنفيذ تراخيص» لكل معالج «غير تنافسية'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
50,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' بحيث يدفع المصنّع الأصلي للجهاز إلى مايكروسوفت رسومًا عن كل كمبيوتر تبيعه يحتوي على معالج دقيق معين، سواء تبيعه الشركة المصنعة للكمبيوتر بنظام تشغيل مايكروسوفت أو نظام تشغيل غير تابع للشركة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
51,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' يتم استخدام منتج مايكروسوفت كعقوبة أو ضريبة على استخدام»صانع معدات أصلية «لنظام تشغيل كمبيوتر منافس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
52,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' منذ سنة 1988، زاد استخدام مايكروسوفت لتراخيص كل معالج'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
53,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '»\n\nمايكروسوفت دوت نت ""Microsoft '}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
54,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': 'NET""\nاشتهرت شركة مايكروسوفت بقدرتها على الابتكار وتقديم أفضل التقنيات والحلول المعتمدة على احتياجات العملاء والبحث والتطوير'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
55,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وبعد النجاح الذي حققته مايكروسوفت في التطبيقات الخاصة بأجهزة الحاسوب الشخصية وهو ما يعرف لدى التقنيين باسم «ثورة ويندوز» بدأت مايكروسوفت في توسيع استخدامات الحاسوب الشخصي لتضيف أبعاداً جديدة من الفعالية على هذه التقنيات وذلك من خلال استراتيجيتها الشهيرة «دوت نت»'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
56,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nويعد إطلاق مايكروسوفت لإطار العمل التقني «مايكروسوفت دوت نت» و«فيجيوال ستديو دوت نت» ""Visual Studio'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
57,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': 'NET"" في فبراير الماضي حجر الزاوية والأساس الحقيقي لاستراتيجية مايكروسوفت دوت نت، ويمثل البداية الفعلية لرؤية مايكرسوفت في بناء مواقع الإنترنت بالاعتماد على لغة «إكس إم إل» ""XML""'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
58,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nتعتبر «مايكروسوفت دوت نت» إطار عمل تقني مبني وفق معايير تقنية مفتوحة، ووفقاً للغة الأعمال، وتعد إستراتيجية «دوت نت» خدمة تقنية شاملة تحول برامج الحاسوب إلى خدمة مرنة وفعالة تزود قطاعات الأعمال المختلفة بالتقنيات الضرورية للحفاظ على قدراتها التنافسية في الأسواق في عصر التقنيات الرقمية'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
59,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\nوتوفر النقلة الحالية في المعايير التقنية المتمثلة في الانتقال من الاعتماد على أجهزة الحاسوب الشخصي والتوجه نحو الاعتماد بشكل أكبر على أجهزة الاتصال والحاسوب المحمول وخدمات الإنترنت المختلفة، كقوة دفع كبيرة لتعزيز الحاجة لاستراتيجية مايكروسوفت الجديدة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
60,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وتسعى مايكروسوفت من خلال استراتيجيتها إلى تزويد المستخدمين بتقنيات أفضل للحصول على المعلومات بسهولة وتمكينهم من التحكم في وقت ومكان وكيفية الحصول على المعلومة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
61,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' وستسهل التقنيات الجديدة وسيلة التخاطب وتبادل المعلومات بين أجهزة الحاسوب الشخصي والأنظمة المعلوماتية المحمولة والأجهزة التقنية الأخرى، الأمر الذي سيمكن المؤسسات وقطاعات الأعمال من عرض منتجاتها وخدماتها المختلفة عبر شبكة الإنترنت من خلال وسائل تقنية متطورة'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
62,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '\n\n1995–2007: الدخول إلى الويب و«ويندوز إكس بي» و«إكس بوكس»\nبعد «مذكرة موجات الإنترنت» الداخلية لبيل غيتس في 26 مايو 1995، بدأت مايكروسوفت في إعادة تعريف عروضها وتوسيع خط إنتاجها إلى شبكات الكمبيوتر وشبكة الويب العالمية'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
63,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' مع بعض الاستثناءات القليلة للشركات الجديدة، مثل نتسكيب'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
64,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' كانت مايكروسوفت الشركة الرئيسية الوحيدة التي عملت بسرعة كافية لتكون جزءًا من شبكة الويب العالمية عمليًا منذ البداية'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
65,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' الشركات الأخرى مثل بورلاند وووردبيرفكت ونوفل وآي بي إم ولوتيس، كونها كانت أبطأ بكثير في التكيف مع الوضع الجديد، منحت لمايكروسوفت فرصة للهيمنة على السوق'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
66,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' أصدرت شركة مايكروسوفت نظام التشغيل ويندوز 95 في 24 أغسطس 1995، والذي يتميز بمهام متعددة وقائية، وواجهة مستخدم جديدة تمامًا مع زر بدء جديد، وتوافق 32 بت؛ على غرار ويندوز إن تي'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
67,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' قدمت ويندوز 95 واجهة برمجة تطبيقات ويندوز مجمعة مع خدمة إم إس إن عبر الإنترنت'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
68,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' كان من المفترض في البداية أن تكون هذه الخدمة منافسًا للإنترنت و (لمصنعي المعدات الأصلية): إنترنت إكسبلورر، مستعرض الويب'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
69,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' لم يتم تجميع إنترنت إكسبلورر مع مربعات البيع بالتجزئة الويندوز 95، لأنه تم طباعة المربعات قبل أن ينتهي الفريق من مستعرض الويب، وبدلاً من ذلك تم تضمينه في حزمة ويندوز 95 بلاس'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
70,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' مدعومًا بحملة تسويقية رفيعة المستوى  وما وصفته صحيفة نيويورك تايمز «بالمقدمة الأكثر روعة والأكثر جنونًا والأغلى لمنتج كمبيوتر في تاريخ الصناعة»،  سرعان ما أصبح نظام التشغيل ويندوز 95 ناجحًا'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
71,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' بعد تفرع مايكروسوفت إلى أسواق جديدة في سنة 1996، أنشأت وحدة إن بي سي التابعة لشركة جنرال إلكتريك قناة إخبارية جديدة على مدار الساعة طوال أيام الأسبوع 24/7، إم إس إن بي سي'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
72,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': ' كما قامت مايكروسوفت بإنشاء ويندوز سي إي 1'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
73,"{'pageTitle': 'مايكروسوفت', 'language': 'ar', 'text': '0، وهو نظام تشغيل جديد مصمم للأجهزة ذات الذاكرة المنخفضة والقيود الأخرى، مثل المساعدين الرقميين الشخصيين'}",text,"['ORGANIZATION', 'PERSON', 'DATE', 'LOCATION']",[],
